名前,ID,アクタータイプ,座標X,座標Y,座標Z,回転X,回転Y,回転Z,大きさX,大きさY,大きさZ,モデルのパス,優先度,ゲームタグ,当たり判定無視,トリガー,重力を受ける,コリジョンの半径,コリジョンの高さ,パスをまとめたパス
DBK_Concete_Floor_Full (116),131,Stage,-26,5.8,83,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (133),240,Stage,-37.55,5.8,71.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (117),161,Stage,-26,5.8,86,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (134),178,Stage,-37.55,5.8,74.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (118),142,Stage,-26,5.8,89,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (135),200,Stage,-37.55,5.8,77.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (119),181,Stage,-26,5.8,92,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (136),242,Stage,-37.55,5.8,80.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (120),190,Stage,-29,5.8,83,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (137),157,Stage,-40.55,5.8,71.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (121),255,Stage,-29,5.8,86,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (138),239,Stage,-40.55,5.8,74.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (122),102,Stage,-29,5.8,89,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (139),266,Stage,-40.55,5.8,77.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (123),282,Stage,-29,5.8,92,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (140),250,Stage,-40.55,5.8,80.21,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (96),213,Stage,3,5.8,85,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (97),302,Stage,6,5.8,85,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (12),204,Stage,0,0,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (42),308,Stage,-3,0,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (13),167,Stage,3,0,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (40),247,Stage,6,0,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (14),192,Stage,0,3,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (43),143,Stage,-3,3,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (15),125,Stage,3,3,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (41),262,Stage,6,3,15,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (25),126,Stage,0,0,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (26),138,Stage,-3,0,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (27),158,Stage,3,0,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (48),285,Stage,6,0,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (49),146,Stage,0,2.9,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (50),122,Stage,-3,2.9,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (51),291,Stage,3,2.9,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (52),231,Stage,6,2.9,21,270,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (4),115,Stage,0,0,-3,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (28),137,Stage,6,0,-3,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (30),315,Stage,6,0,0,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (32),174,Stage,6,0,3,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (34),220,Stage,6,0,6,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (36),243,Stage,6,0,9,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (38),195,Stage,6,0,12,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (5),156,Stage,3,0,-3,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (29),99,Stage,-3,0,-3,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (31),219,Stage,-3,0,0,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (33),162,Stage,-3,0,3,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (35),300,Stage,-3,0,6,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (37),259,Stage,-3,0,9,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (39),124,Stage,-3,0,12,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (20),117,Stage,6,12,-3,90,0,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (21),253,Stage,6,12,-3,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (22),113,Stage,-6,12,-3,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (23),185,Stage,-6,12,9,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (24),151,Stage,6,12,9,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (60),265,Stage,6,24,-3,90,0,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (61),246,Stage,6,24,-3,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (62),191,Stage,-6,24,-3,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (63),106,Stage,-6,24,9,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (64),169,Stage,6,24,9,90,90,0,4,4,4,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (59),216,Stage,-6.5,20,19,90,45,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (66),175,Stage,-23,20,35,90,90,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (68),263,Stage,-23,20,59,90,90,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (124),196,Stage,-20,18,82.5,90,0,0,5,5,5,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (142),251,Stage,-35,18,68,90,90,0,5,5,5,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (79),130,Stage,-6,20,70.46,90,0,0,9.5,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (80),228,Stage,30,20,70.46,90,0,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (81),172,Stage,6,20,72,90,90,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (104),257,Stage,7.5,20,95,90,0,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (147),5,Stage,-41.2,40.8,95.5,90,90,0,40,8,15,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (149),4,Stage,-38.9,40.8,195.8,90,0,0,40,8,15,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (150),3,Stage,-158.5,40.8,78.1,90,90,0,40,8,15,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (160),2,Stage,-158.5,40.8,-41.9,90,90,0,40,8,15,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (161),1,Stage,-8.1,40.8,19,90,0,0,60,8,15,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (105),132,Stage,-16.5,20,95,90,0,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (107),287,Stage,-40.5,20,95,90,0,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (141),114,Stage,-48,20,71,90,90,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (67),270,Stage,23,20,35,90,90,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (69),313,Stage,23,20,59,90,90,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (65),275,Stage,24,20,36,90,315,0,8,8,8,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A,101,Stage,0,0,25,2.504478E-06,0,0,2,2,2,Stage/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full,165,Stage,1.5,6,23.5,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (1),297,Stage,-2.49,0,30.51,2.504478E-06,0,0,2,2,2,Stage/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (2),236,Stage,6.07,0,42.06,2.504478E-06,0,0,2,2,2,Stage/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (7),197,Stage,-0.33,0,40.45,2.504478E-06,0,0,2,2,2,Stage/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (3),258,Stage,-6.83,0,36.56,2.504478E-06,0,0,2,2,2,Stage/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
